,CH1,CH2
Second,Volt,Volt
6.37000e-02,-2.00e+00,2.38e+00, 
6.37400e-02,-2.00e+00,2.38e+00, 
6.37800e-02,-2.00e+00,2.44e+00, 
6.38200e-02,-2.00e+00,2.44e+00, 
6.38600e-02,-1.60e+00,2.60e+00, 
6.39000e-02,-2.00e+00,2.64e+00, 
6.39400e-02,-1.60e+00,2.92e+00, 
6.39800e-02,-1.60e+00,2.96e+00, 
6.40200e-02,-2.00e+00,3.18e+00, 
6.40600e-02,-1.60e+00,3.18e+00, 
6.41000e-02,-1.60e+00,3.04e+00, 
6.41400e-02,-1.60e+00,3.02e+00, 
6.41800e-02,-1.60e+00,2.58e+00, 
6.42200e-02,-1.60e+00,2.54e+00, 
6.42600e-02,-1.20e+00,2.32e+00, 
6.43000e-02,-1.60e+00,2.32e+00, 
6.43400e-02,-1.20e+00,2.56e+00, 
6.43800e-02,-1.20e+00,2.60e+00, 
6.44200e-02,-1.60e+00,3.04e+00, 
6.44600e-02,-1.20e+00,3.08e+00, 
6.45000e-02,-8.00e-01,3.18e+00, 
6.45400e-02,-1.20e+00,3.10e+00, 
6.45800e-02,-8.00e-01,2.74e+00, 
6.46200e-02,-1.20e+00,2.68e+00, 
6.46600e-02,-8.00e-01,2.34e+00, 
6.47000e-02,-8.00e-01,2.32e+00, 
6.47400e-02,-4.00e-01,2.54e+00, 
6.47800e-02,-8.00e-01,2.60e+00, 
6.48200e-02,-4.00e-01,3.10e+00, 
6.48600e-02,-4.00e-01,3.16e+00, 
6.49000e-02,-4.00e-01,2.92e+00, 
6.49400e-02,-4.00e-01,2.86e+00, 
6.49800e-02,-4.00e-01,2.36e+00, 
6.50200e-02,-4.00e-01,2.34e+00, 
6.50600e-02,-4.00e-01,2.74e+00, 
6.51000e-02,-4.00e-01,2.80e+00, 
6.51400e-02,-4.00e-01,3.14e+00, 
6.51800e-02,-4.00e-01,3.10e+00, 
6.52200e-02,0.00e+00,2.56e+00, 
6.52600e-02,-4.00e-01,2.50e+00, 
6.53000e-02,0.00e+00,2.34e+00, 
6.53400e-02,0.00e+00,2.50e+00, 
6.53800e-02,0.00e+00,3.06e+00, 
6.54200e-02,0.00e+00,3.14e+00, 
6.54600e-02,4.00e-01,2.88e+00, 
6.55000e-02,0.00e+00,2.82e+00, 
6.55400e-02,4.00e-01,2.34e+00, 
6.55800e-02,4.00e-01,2.34e+00, 
6.56200e-02,4.00e-01,2.84e+00, 
6.56600e-02,4.00e-01,2.92e+00, 
6.57000e-02,8.00e-01,3.14e+00, 
6.57400e-02,4.00e-01,2.98e+00, 
6.57800e-02,8.00e-01,2.38e+00, 
6.58200e-02,8.00e-01,2.36e+00, 
6.58600e-02,8.00e-01,2.84e+00, 
6.59000e-02,8.00e-01,2.92e+00, 
6.59400e-02,1.20e+00,3.12e+00, 
6.59800e-02,8.00e-01,2.90e+00, 
6.60200e-02,1.20e+00,2.36e+00, 
6.60600e-02,1.20e+00,2.38e+00, 
6.61000e-02,1.20e+00,2.98e+00, 
6.61400e-02,1.20e+00,3.16e+00, 
6.61800e-02,1.20e+00,2.84e+00, 
6.62200e-02,1.20e+00,2.74e+00, 
6.62600e-02,1.20e+00,2.36e+00, 
6.63000e-02,1.20e+00,2.42e+00, 
6.63400e-02,1.60e+00,3.10e+00, 
6.63800e-02,1.20e+00,3.14e+00, 
6.64200e-02,1.60e+00,2.68e+00, 
6.64600e-02,1.60e+00,2.60e+00, 
6.65000e-02,1.60e+00,2.36e+00, 
6.65400e-02,1.60e+00,2.60e+00, 
6.65800e-02,1.60e+00,3.16e+00, 
6.66200e-02,2.00e+00,3.10e+00, 
6.66600e-02,1.60e+00,2.42e+00, 
6.67000e-02,2.00e+00,2.38e+00, 
6.67400e-02,2.00e+00,2.90e+00, 
6.67800e-02,2.00e+00,3.14e+00, 
6.68200e-02,2.00e+00,2.80e+00, 
6.68600e-02,2.00e+00,2.72e+00, 
6.69000e-02,2.40e+00,2.38e+00, 
6.69400e-02,2.40e+00,2.56e+00, 
6.69800e-02,2.00e+00,3.14e+00, 
6.70200e-02,2.40e+00,3.10e+00, 
6.70600e-02,2.80e+00,2.38e+00, 
6.71000e-02,2.80e+00,2.38e+00, 
6.71400e-02,2.40e+00,2.96e+00, 
6.71800e-02,2.80e+00,3.16e+00, 
6.72200e-02,2.40e+00,2.78e+00, 
6.72600e-02,2.80e+00,2.68e+00, 
6.73000e-02,2.80e+00,2.38e+00, 
6.73400e-02,2.80e+00,2.60e+00, 
6.73800e-02,2.80e+00,3.16e+00, 
6.74200e-02,2.80e+00,3.10e+00, 
6.74600e-02,2.80e+00,2.38e+00, 
6.75000e-02,3.20e+00,2.38e+00, 
6.75400e-02,2.80e+00,3.04e+00, 
6.75800e-02,2.80e+00,3.14e+00, 
6.76200e-02,3.20e+00,2.68e+00, 
6.76600e-02,3.20e+00,2.38e+00, 
6.77000e-02,3.20e+00,2.66e+00, 
6.77400e-02,3.20e+00,2.74e+00, 
6.77800e-02,3.60e+00,3.16e+00, 
6.78200e-02,3.20e+00,2.94e+00, 
6.78600e-02,3.60e+00,2.38e+00, 
6.79000e-02,3.60e+00,2.44e+00, 
6.79400e-02,4.00e+00,3.14e+00, 
6.79800e-02,3.60e+00,3.14e+00, 
6.80200e-02,4.00e+00,2.46e+00, 
6.80600e-02,4.00e+00,2.38e+00, 
6.81000e-02,3.60e+00,2.88e+00, 
6.81400e-02,4.00e+00,3.18e+00, 
