,CH1,CH2,
Second,Volt,Volt,
6.69E-02,2.00E+00,3.18E+00, 
6.69E-02,2.00E+00,2.72E+00, 
6.69E-02,2.00E+00,2.66E+00, 
6.70E-02,2.00E+00,2.28E+00, 
6.70E-02,2.00E+00,2.28E+00, 
6.71E-02,2.00E+00,2.64E+00, 
6.71E-02,2.00E+00,2.68E+00, 
6.71E-02,2.40E+00,3.20E+00, 
6.72E-02,2.40E+00,3.22E+00, 
6.72E-02,2.00E+00,2.96E+00, 
6.73E-02,2.00E+00,2.90E+00, 
6.73E-02,2.40E+00,2.36E+00, 
6.73E-02,2.40E+00,2.28E+00, 
6.74E-02,2.40E+00,2.46E+00, 
6.74E-02,2.40E+00,2.54E+00, 
6.75E-02,2.80E+00,3.14E+00, 
6.75E-02,2.40E+00,3.24E+00, 
6.75E-02,2.80E+00,3.04E+00, 
6.76E-02,2.40E+00,2.96E+00, 
6.76E-02,2.80E+00,2.38E+00, 
6.77E-02,2.80E+00,2.28E+00, 
6.77E-02,2.40E+00,2.46E+00, 
6.77E-02,2.80E+00,2.52E+00, 
6.78E-02,2.80E+00,3.14E+00, 
6.78E-02,2.80E+00,3.24E+00, 
6.79E-02,2.80E+00,3.04E+00, 
6.79E-02,2.80E+00,2.96E+00, 
6.79E-02,2.80E+00,2.36E+00, 
6.80E-02,2.80E+00,2.28E+00, 
6.80E-02,2.80E+00,2.54E+00, 
6.81E-02,2.80E+00,2.60E+00, 
6.81E-02,2.80E+00,3.20E+00, 
6.81E-02,2.80E+00,3.24E+00, 
6.82E-02,2.80E+00,2.90E+00, 
6.82E-02,2.80E+00,2.82E+00, 
6.83E-02,2.80E+00,2.32E+00, 
6.83E-02,2.80E+00,2.28E+00, 
6.83E-02,2.80E+00,2.60E+00, 
6.84E-02,2.80E+00,2.68E+00, 
6.84E-02,3.20E+00,3.24E+00, 
6.85E-02,2.80E+00,3.24E+00, 
6.85E-02,3.20E+00,2.76E+00, 
6.85E-02,3.20E+00,2.68E+00, 
6.86E-02,3.20E+00,2.30E+00, 
6.86E-02,3.20E+00,2.32E+00, 
6.87E-02,3.20E+00,2.86E+00, 
6.87E-02,3.20E+00,2.96E+00, 
6.87E-02,3.20E+00,3.24E+00, 
6.88E-02,3.20E+00,3.18E+00, 
6.88E-02,3.20E+00,2.54E+00, 
6.89E-02,3.20E+00,2.46E+00, 
6.89E-02,3.60E+00,2.28E+00, 
6.89E-02,3.20E+00,2.40E+00, 
6.90E-02,3.60E+00,3.10E+00, 
6.90E-02,3.60E+00,3.24E+00, 
6.91E-02,3.20E+00,3.06E+00, 
6.91E-02,3.60E+00,3.00E+00, 
6.91E-02,3.20E+00,2.34E+00, 
6.92E-02,3.60E+00,2.28E+00, 
6.92E-02,3.60E+00,2.56E+00, 
6.93E-02,3.60E+00,2.64E+00, 
6.93E-02,4.00E+00,3.24E+00, 
6.93E-02,3.60E+00,3.24E+00, 
6.94E-02,4.00E+00,2.82E+00, 
6.94E-02,4.00E+00,2.74E+00, 
6.95E-02,3.60E+00,2.28E+00, 
6.95E-02,4.00E+00,2.28E+00, 
6.95E-02,4.00E+00,2.82E+00, 
6.96E-02,4.00E+00,2.90E+00, 
6.96E-02,4.00E+00,3.28E+00, 
6.97E-02,4.00E+00,3.24E+00, 
6.97E-02,4.00E+00,2.60E+00, 
6.97E-02,4.00E+00,2.54E+00, 
6.98E-02,4.00E+00,2.28E+00, 
6.98E-02,4.00E+00,2.36E+00, 
6.99E-02,4.00E+00,3.02E+00, 
6.99E-02,4.00E+00,3.08E+00, 
6.99E-02,4.00E+00,3.28E+00, 
7.00E-02,4.00E+00,3.10E+00, 
7.00E-02,4.00E+00,2.44E+00, 
7.01E-02,4.00E+00,2.26E+00, 
7.01E-02,4.40E+00,2.40E+00, 
7.01E-02,4.00E+00,2.46E+00, 
7.02E-02,4.00E+00,3.14E+00, 
7.02E-02,4.40E+00,3.28E+00, 
7.03E-02,4.00E+00,3.10E+00, 
7.03E-02,4.40E+00,3.04E+00, 
7.03E-02,4.40E+00,2.38E+00, 
7.04E-02,4.40E+00,2.26E+00, 
7.04E-02,4.40E+00,2.44E+00, 
7.05E-02,4.40E+00,2.50E+00, 
7.05E-02,4.40E+00,3.18E+00, 
7.05E-02,4.40E+00,3.28E+00, 
7.06E-02,4.40E+00,3.10E+00, 
7.06E-02,4.80E+00,3.04E+00, 
7.07E-02,4.40E+00,2.38E+00, 
7.07E-02,4.80E+00,2.26E+00, 
7.07E-02,4.40E+00,2.42E+00, 
7.08E-02,4.80E+00,2.48E+00, 
7.08E-02,4.40E+00,3.16E+00, 
7.09E-02,4.80E+00,3.32E+00, 
7.09E-02,4.80E+00,3.16E+00, 
7.09E-02,4.80E+00,3.10E+00, 
