,CH1,CH2,CH3
Second,Volt,Volt,Volt
2.20000e-04,4.60e-01,1.20e-01,1.75e-01, 
2.24000e-04,4.20e-01,1.00e-01,1.74e-01, 
2.28000e-04,4.60e-01,1.20e-01,1.75e-01, 
2.32000e-04,4.60e-01,1.00e-01,1.75e-01, 
2.36000e-04,4.20e-01,1.40e-01,1.78e-01, 
2.40000e-04,4.80e-01,1.20e-01,1.81e-01, 
2.44000e-04,4.60e-01,1.00e-01,1.76e-01, 
2.48000e-04,4.80e-01,1.20e-01,1.78e-01, 
2.52000e-04,4.80e-01,8.00e-02,1.84e-01, 
2.56000e-04,4.80e-01,8.00e-02,1.82e-01, 
2.60000e-04,5.20e-01,1.00e-01,1.86e-01, 
2.64000e-04,4.80e-01,8.00e-02,1.84e-01, 
2.68000e-04,5.20e-01,6.00e-02,1.88e-01, 
2.72000e-04,4.80e-01,8.00e-02,1.86e-01, 
2.76000e-04,5.40e-01,2.00e-02,1.92e-01, 
2.80000e-04,5.40e-01,2.00e-02,1.90e-01, 
2.84000e-04,5.00e-01,6.00e-02,1.93e-01, 
2.88000e-04,5.20e-01,2.00e-02,1.94e-01, 
2.92000e-04,5.60e-01,6.00e-02,1.93e-01, 
2.96000e-04,5.60e-01,2.00e-02,1.93e-01, 
3.00000e-04,5.80e-01,6.00e-02,1.96e-01, 
3.04000e-04,6.00e-01,2.00e-02,1.94e-01, 
3.08000e-04,5.60e-01,0.00e+00,1.97e-01, 
3.12000e-04,5.60e-01,2.00e-02,1.96e-01, 
3.16000e-04,6.00e-01,-4.00e-02,1.94e-01, 
3.20000e-04,6.00e-01,2.00e-02,1.93e-01, 
3.24000e-04,5.60e-01,-4.00e-02,1.97e-01, 
3.28000e-04,5.80e-01,0.00e+00,1.96e-01, 
3.32000e-04,6.20e-01,-4.00e-02,1.91e-01, 
3.36000e-04,6.00e-01,-4.00e-02,1.92e-01, 
3.40000e-04,6.40e-01,-4.00e-02,1.86e-01, 
3.44000e-04,6.20e-01,-4.00e-02,1.87e-01, 
3.48000e-04,6.40e-01,-6.00e-02,1.82e-01, 
3.52000e-04,6.40e-01,-4.00e-02,1.82e-01, 
3.56000e-04,6.60e-01,-8.00e-02,1.78e-01, 
3.60000e-04,6.40e-01,-6.00e-02,1.77e-01, 
3.64000e-04,6.60e-01,-8.00e-02,1.74e-01, 
3.68000e-04,6.40e-01,-6.00e-02,1.75e-01, 
3.72000e-04,6.80e-01,-1.00e-01,1.71e-01, 
3.76000e-04,6.60e-01,-8.00e-02,1.72e-01, 
3.80000e-04,6.80e-01,-1.20e-01,1.67e-01, 
3.84000e-04,6.80e-01,-1.20e-01,1.68e-01, 
3.88000e-04,7.00e-01,-8.00e-02,1.72e-01, 
3.92000e-04,7.00e-01,-1.40e-01,1.70e-01, 
3.96000e-04,6.80e-01,-8.00e-02,1.75e-01, 
4.00000e-04,7.00e-01,-1.20e-01,1.74e-01, 
4.04000e-04,7.20e-01,-1.40e-01,1.81e-01, 
4.08000e-04,7.00e-01,-1.20e-01,1.78e-01, 
4.12000e-04,7.60e-01,-1.80e-01,1.84e-01, 
4.16000e-04,7.00e-01,-1.40e-01,1.85e-01, 
4.20000e-04,7.60e-01,-1.80e-01,1.92e-01, 
4.24000e-04,7.40e-01,-1.80e-01,1.94e-01, 
4.28000e-04,7.80e-01,-1.40e-01,1.92e-01, 
4.32000e-04,7.80e-01,-1.80e-01,1.92e-01, 
4.36000e-04,7.40e-01,-1.80e-01,1.96e-01, 
4.40000e-04,7.80e-01,-1.80e-01,1.96e-01, 
4.44000e-04,7.40e-01,-2.20e-01,1.93e-01, 
4.48000e-04,7.60e-01,-1.80e-01,1.92e-01, 
4.52000e-04,8.00e-01,-2.20e-01,1.88e-01, 
4.56000e-04,7.80e-01,-2.40e-01,1.87e-01, 
4.60000e-04,8.00e-01,-1.80e-01,1.84e-01, 
4.64000e-04,7.80e-01,-2.00e-01,1.83e-01, 
4.68000e-04,8.20e-01,-2.40e-01,1.75e-01, 
4.72000e-04,8.00e-01,-2.40e-01,1.77e-01, 
4.76000e-04,8.40e-01,-2.20e-01,1.69e-01, 
4.80000e-04,8.20e-01,-2.20e-01,1.71e-01, 
4.84000e-04,8.40e-01,-2.60e-01,1.68e-01, 
4.88000e-04,8.40e-01,-2.40e-01,1.70e-01, 
4.92000e-04,8.40e-01,-2.60e-01,1.72e-01, 
4.96000e-04,8.40e-01,-2.60e-01,1.72e-01, 
5.00000e-04,8.60e-01,-2.80e-01,1.79e-01, 
5.04000e-04,8.80e-01,-2.60e-01,1.79e-01, 
5.08000e-04,8.40e-01,-2.80e-01,1.85e-01, 
